~id,~from,~to,~label
55_athe_jimi_hendrix_experience,a_55,a_the_jimi_hendrix_experience,hasArtist
55_grock,a_55,g_rock,hasGenre
55_gblues,a_55,g_blues,hasGenre
55_selectric_blues,a_55,s_electric_blues,hasSubgenre
55_spsychedelic_rock,a_55,s_psychedelic_rock,hasSubgenre
56_1956,a_56,y_1956,hasYear
56_aelvis_presley,a_56,a_elvis_presley,hasArtist
56_grock,a_56,g_rock,hasGenre
56_srock___roll,a_56,s_rock___roll,hasSubgenre
56_srockabilly,a_56,s_rockabilly,hasSubgenre
57_1976,a_57,y_1976,hasYear
57_astevie_wonder,a_57,a_stevie_wonder,hasArtist
57_gfunk___soul,a_57,g_funk___soul,hasGenre
57_ssoul,a_57,s_soul,hasSubgenre
57_sdisco,a_57,s_disco,hasSubgenre
58_1968,a_58,y_1968,hasYear
58_athe_rolling_stones,a_58,a_the_rolling_stones,hasArtist
58_grock,a_58,g_rock,hasGenre
58_gfunk___soul,a_58,g_funk___soul,hasGenre
58_gpop,a_58,g_pop,hasGenre
58_sblues_rock,a_58,s_blues_rock,hasSubgenre
58_ssouthern_rock,a_58,s_southern_rock,hasSubgenre
58_sclassic_rock,a_58,s_classic_rock,hasSubgenre
59_1976,a_59,y_1976,hasYear
59_acreedence_clearwater_revival,a_59,a_creedence_clearwater_revival,hasArtist
59_grock,a_59,g_rock,hasGenre
59_snone,a_59,s_none,hasSubgenre
60_1969,a_60,y_1969,hasYear
60_acaptain_beefheart___his_magic_band,a_60,a_captain_beefheart___his_magic_band,hasArtist
60_grock,a_60,g_rock,hasGenre
60_gblues,a_60,g_blues,hasGenre
60_sdialogue,a_60,s_dialogue,hasSubgenre
60_sfield_recording,a_60,s_field_recording,hasSubgenre
60_savantgarde,a_60,s_avantgarde,hasSubgenre
60_selectric_blues,a_60,s_electric_blues,hasSubgenre
60_spsychedelic_rock,a_60,s_psychedelic_rock,hasSubgenre
60_sexperimental,a_60,s_experimental,hasSubgenre
61_1970,a_61,y_1970,hasYear
61_asly___the_family_stone,a_61,a_sly___the_family_stone,hasArtist
61_gfunk___soul,a_61,g_funk___soul,hasGenre
61_srhythm___blues,a_61,s_rhythm___blues,hasSubgenre
61_sfunk,a_61,s_funk,hasSubgenre
62_1987,a_62,y_1987,hasYear
62_aguns_n__roses,a_62,a_guns_n__roses,hasArtist
62_grock,a_62,g_rock,hasGenre
62_shard_rock,a_62,s_hard_rock,hasSubgenre
62_sheavy_metal,a_62,s_heavy_metal,hasSubgenre
63_1991,a_63,y_1991,hasYear
63_au2,a_63,a_u2,hasArtist
63_gelectronic,a_63,g_electronic,hasGenre
63_grock,a_63,g_rock,hasGenre
63_spop_rock,a_63,s_pop_rock,hasSubgenre
63_ssynth_pop,a_63,s_synth_pop,hasSubgenre
